taxon,isocode,glottocode,xd_ids,soc_ids
METOMKA_MUYU,,sout2940,xd800,Ie23
YONGGOM,,yong1280,,
NINATIE_MUYU,,nort2916,,
MIDDLE_WAHGI,,nucl1620,,
MELPA,,melp1238,,
AUA,,imbo1238,,
IMBONGU,,imbo1238,,
UMBU_UNGU,,umbu1258,xd787,Ie11
GAWIL,,umbu1258,xd787,Ie11
KANDAWO,,kand1303,,
NARAK,,nara1264,,
GOLIN,,goli1247,,
SINASINA,,sina1271,,
DOM,,domm1246,,
BOUMAI,,domm1246,,
KUMAN,,kuma1280,,
WAFFA,,waff1241,,
N_TAIRORA,,nort2920,,
BINUMARIEN,,binu1245,,
TAIRORA_BINUMARIEN,,binu1245,,
AWA,,awap1236,,
AWA_2,,awap1236,,
AUYANA,,awiy1238,,
GADSUP,,gads1258,,
AGARABI,,agar1252,,
GADSUP_AGARABI,,agar1252,,
GENDE,,gend1249,,
ISABI,,isab1240,,
ASARO,,dano1240,,
DANO,,dano1240,,
GAHUKU_ASARO,,dano1240,,
ALEKANO,,alek1238,,
GAFUKU,,alek1238,,
GAHUKU,,alek1238,,
FORE,,fore1270,xd809,Ie31
GIMI,,gimi1243,,
YABIYUFA,,yawe1241,,
SIANE,,sian1257,xd793,Ie17
BENABENA,,bena1264,,
YAGARIA,,yaga1260,,
KAMANO_KAFE,,kama1370,,
YATE,,inok1238,,
ENGA,,enga1252,xd821,Ie7
KYAKA_ENGA,,kyak1244,,
BISORIO_2,,biso1243,,
INIAI,,nete1240,,
LEMBENA,,lemb1266,,
MAIBI,,lemb1266,,
YARIBA,,lemb1266,,
HULI,,huli1244,,
HULI_HOLE,,huli1244,,
SAU,,samb1321,,
ANGAL,,anga1293,,
KEWA_EAST,,east2516,,
KEWA,,west2599,,
POLE,,erav1244,,
KEWA_S_POLE,,erav1244,,
EIPOMEK,,eipo1242,,
KETENGBAN_BIME,,kete1254,,
UNA,,unaa1239,,
NALCA,,nalc1240,,
KORUPUN_SELA,,koru1245,,
YALE_KOSAREK,,kosa1249,,
GUHU_SAMANE,,guhu1244,,
SUENA,,suen1241,,
ZIA,,ziaa1250,,
BINANDERE,,bina1277,,
MAMBARE_RIVER,,bina1277,,
KORAFE_YEGHA,,kora1294,,
TAFOTA_BARUGA,,baru1269,,
DAO,,daoo1238,,
MONI_2,,moni1261,,
KAPAUKU,,ekar1243,xd785,"Ie1, SCCS94"
WOLANI,,wola1243,,
KINIAGEIMA,,sili1249,,
ANGGURUK_YALI,,angg1239,,
YALI_PASS_VALLEY,,pass1247,,
WANO,,wano1243,,
NGGEM,,ngge1241,,
LANI,,west2594,,
PYRAMID_WODO,,wala1269,,
UPPER_PYRAMID_DANI,,lowe1415,,
MID_GRAND_VALLEY_DANI,,midg1235,xd816,Ie38
HITIGIMA_DANI,,lowe1415,,
TANGMA_DANI,,lowe1415,,
GULE,,gule1241,,
ANEM,,anem1249,,
BILUA,,bilu1245,,
NDOVELE_BILUA,,bilu1245,,
PELE_ATA,,pele1245,,
LAVUKALEVE,,lavu1241,,
SAVOSAVO,,savo1255,,
DARIBI,,dadi1250,,
FOLOPA,,folo1238,,
AMTO,,amto1250,,
MUSAN,,siaw1243,,
MUSAN_2,,siaw1243,,
OWINIGA,,owin1240,,
AMA,,amap1240,,
AMA_2,,amap1240,,
NAKWI,,nakw1240,,
NIMO_NAKWI,,nakw1240,,
NIMO,,nimo1247,,
BO,,bopa1235,,
ITERI,,iter1241,,
ROCKY_PEAK,,iter1241,,
TAKELMA,,take1257,xd1091,"B176, Nb30"
KALAPUYA,,kala1400,,
PURARI,,pura1257,xd822,Ie8
WEST_MAKIAN,,west2600,,
SABALE,,west2600,,
TALAPAO,,west2600,,
TAGONO,,west2600,,
TAFASOHO,,west2600,,
NGOFABOBAWA,,west2600,,
MALAPA,,west2600,,
BOBAWA,,west2600,,
TIDORE,,tido1248,,
SAHU,,sahu1245,,
TABARU,,taba1263,,
PAGU,,pagu1249,,
MADOLE,,modo1249,,
MODOLE,,modo1249,,
MODOLE_2,,modo1249,,
TOBELO_2,,tobe1252,,
LODA,,lolo1264,,
LOLODA,,lolo1264,,
GALELA,,gale1259,,
GALELA_2,,gale1259,,
LAAL,,laal1242,,
NOBIIN,,nobi1240,,
OLD_NUBIAN,,oldn1245,,
NUBIAN_OF_DONGOLA,,dong1288,,
MEIDOB_NUBIAN,,mido1240,xd460,Cb11
BIRKED,,birk1242,,
KENZI,,kenu1243,,
DILLING,,dill1242,xd382,Ai8
KADARU,,kada1282,,
DAIR,,dair1239,,
UNCUNWEE,,ghul1238,,
MISKITO,,misk1235,,
CACAOPERA,,caca1247,,
ULWA,,ulwa1239,,
TUNICA,,tuni1252,,
NATCHEZ,,natc1249,xd1256,"Ng7, SCCS146"
FUR,,furr1244,xd466,"Cb17, SCCS29"
KENABOI_1,,kena1236,,
MOI,,moii1235,,
SEGET,,sege1235,,
MORAID_2,,mora1239,,
KALABRA_2,,kala1256,,
TEHIT,,tehi1237,,
SHOM_PENG,,shom1245,xd901,B4
MARARIT,,mara1396,,
ASSANGORI,,assa1269,,
CAR,,carn1240,xd691,"Eh5, SCCS78"
NANCAWRI,,cent1990,,
TERESSA,,tere1272,,
JUANG,,juan1238,,
KHARIA,,khar1287,,
GATA,,gata1239,,
REMO,,bond1245,,
PARENGA,,pare1266,,
SORA_2,,sora1254,,
SAVARA,,sora1254,,
JURAY,,jura1242,,
SORA,,sora1254,,
KORKU,,kork1243,,
KODA,,koda1236,,
KORWA,,korw1242,,
TURI,,turi1246,,
MUNDARI_2,,mund1320,xd684,Eg8
MUNDARI,,mund1320,xd684,Eg8
HO,,hooo1248,xd666,Ef4
HO_2,,hooo1248,xd666,Ef4
SANTALI,,sant1410,xd661,"Ef1, SCCS62"
PAHARPUR_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
RASHIDPUR_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
RAJARAMPUR_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
JABRI_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
RAUTNAGAR_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
BODOBELGHORIA_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
PATICHORA_SANTALI,,sant1410,xd661,"Ef1, SCCS62"
PACHONDOR_MAHALI,,maha1291,,
ABIRPARA_MAHALI,,maha1291,,
MATINDOR_MAHALI,,maha1291,,
MAH_MERI,,besi1244,,
SEMAQ_BERI,,sema1265,,
TEMOQ,,temo1243,,
SEMELAI,,seme1247,,
JAH_HUT,,jahh1242,,
SEMAI,,sema1266,xd721,Ej14
SEMAI_2,,sema1266,xd721,Ej14
TEMIAR,,temi1246,,
SEMNAM,,semn1250,,
LANOH,,lano1248,,
SABUM,,sabu1253,,
CEQ_WONG,,chew1245,,
KINTAQ,,kint1239,,
KENSIW,,kens1248,xd725,"B9, Ej3, SCCS77"
TONGA,,tong1308,,
JAHAI,,jeha1242,,
BATEK_NONG,,bate1262,,
BATEK_DEQ,,bate1262,,
MINTIL,,mint1239,,
OLD_MON,,oldm1242,,
NYAKUR,,nyah1250,,
NYAKUR_2,,nyah1250,,
MON,,monn1252,,
MON_2,,monn1252,,
MON_NONG_DUU,,monn1252,,
KHMER,,cent1989,xd727,Ej5
KHMER_2,,cent1989,xd727,Ej5
SURIN,,nort2684,,
PEAR,,pear1247,,
PEAR_B,,pear1247,,
SAMRE,,samr1245,,
CHONG_H,,chon1284,,
KASONG,,chon1284,,
SAOCH,,saoc1239,,
THAVUNG_SO,,aheu1239,,
RUC,,chut1247,,
MALIENG,,male1282,,
RUC_2,,chut1247,,
MUNG_KOI,,muon1246,xd720,Ej13
VIETNAMESE_3,,viet1252,xd726,"Ej4, SCCS73"
VIETNAMESE,,viet1252,xd726,"Ej4, SCCS73"
VIETNAMESE_2,,viet1252,xd726,"Ej4, SCCS73"
BRU,,east2332,,
BRU_WESTERN_UnnamedInSource,,west2397,,
KUY,,kuyy1240,,
NYEU,,nyeu1238,,
KUI_THAILAND,,kuyy1240,,
KUI_THAILAND_2,,kuyy1240,,
NGE,,ngeq1245,,
PACOH,,paco1243,,
KATU,,phuo1238,,
KATU_EASTERN,,east1236,,
CHENG,,jeng1241,,
OI,,oyyy1238,,
BRAO,,lave1249,,
SAPUAN,,sapu1248,,
JRU,,lave1248,,
LOVEN,,lave1248,,
NHAHEUN,,nyah1249,,
NHAHEUN_2,,nyah1249,,
TAMPUAN,,tamp1251,,
CUA,,cuaa1241,,
JEH,,jehh1245,,
JEH_2,,jehh1245,,
BAHNAR,,bahn1262,,
BAHNAR_2,,bahn1262,,
TODRAH_UnnamedInSource,,todr1244,,
RENGAO,,reng1252,,
SEDANG,,seda1262,,
KOHO_CHIL,,koho1244,,
SRE,,koho1244,,
KOHO_SRE,,koho1244,,
STIENG,,bulo1242,,
STIENG_2,,bulo1242,,
CHRAU,,chra1242,,
CHRAU_2,,chra1242,,
BUNOR,,cent1992,,
PREH,,cent1992,,
CHIL,,east2333,xd724,Ej2
KUAN,,east2333,xd724,Ej2
GAR,,east2333,xd724,Ej2
ROLOM,,east2333,xd724,Ej2
KHMU,,khmu1256,,
KHMU_2,,khmu1256,,
MLABRI,,mlab1235,xd909,B16
MAL,,mall1246,,
KSINMUL,,puoc1238,,
KSINMUL_2,,puoc1238,,
KEMIE,,manm1238,,
MANG,,mang1378,,
PALIU,,boly1239,,
BUGAN,,buga1247,,
BUGAN_2,,buga1247,,
WAR_JAINTIA,,warj1242,,
PNAR_JOWAI,,pnar1238,,
KHASI_2,,khas1269,xd714,Ei8
KHASI,,khas1269,xd714,Ei8
DANAU,,dana1252,,
DANAW,,dana1252,,
RIANG_BLACK_STRIPED,,rian1261,,
RIANG_WHITE_STRIPED,,rian1261,,
RUMAI,,ruma1248,,
PALAUNG_UnnamedInSource,,ruma1248,,
DEANG,,ruch1235,,
DEANG_2,,ruch1235,,
BIT,,bitt1240,,
KHANG,,khan1274,,
LAMPANGLAMET,,lame1256,xd716,"Ej1, SCCS72"
U,,uuuu1243,,
MOK,,mokk1243,,
BUMANG,,buma1247,,
PLANG,,blan1242,,
LAWA_LA_UP,,west2396,xd719,Ej12
WIANG_PA_PAO_LUA,,east2330,,
WA,,nucl1290,,
WA_3,,nucl1290,,
WA_2,,nucl1290,,
GUANSHUANG_WA,,para1301,,
BANHONG_WA,,para1301,,
AWALAI_WA,,awac1238,,
DAMANGNUO_WA,,awac1238,,
AISHUO_WA,,para1301,,
MASAN_WA,,awac1238,,
YANCHENG_WA,,para1301,,
ZHONGKE_WA,,para1301,,
MENGGONG_WA,,para1301,,
DAZHAI_WA,,para1301,,
XIYUN_WA,,awac1238,,
WANLENG_WA,,para1301,,
YURACARE,,yura1255,,
YURACARE_YURUJURE,,yura1255,,
URARINA,,urar1246,,
PUBIAO,,qabi1235,,
YERONG,,yero1238,,
BUYANG,,lang1316,,
ECUN_BAHA_BUYANG,,baha1256,,
